Entry                     RecordName                Record Status    Section TimeTo Data   Data
                                                    Type                     Live   Length
-----                     ----------                ------ ------    ------- ------ ------ ----
deimos.dgi.uanl.mx        deimos.dgi.uanl.mx        A      Success   Answer    6018      4 148.234.2.227
deimos.dgi.uanl.mx        deimos.dgi.uanl.mx        A      Success   Answer    6018      4 148.234.13.237
deimos.dgi.uanl.mx        deimos.dgi.uanl.mx        A      Success   Answer    6018      4 148.234.2.228
r1---sn-q4flrnes.googl... r1---sn-q4flrnes.googl... CNAME  Success   Answer     888      8 r1.sn-q4flrnes.googlevide...
r1---sn-q4flrnes.googl... r1.sn-q4flrnes.googlev... A      Success   Answer     888      4 173.194.191.166
fonts.gstatic.com         fonts.gstatic.com         CNAME  Success   Answer       2      8 gstaticadssl.l.google.com
fonts.gstatic.com         gstaticadssl.l.google.com A      Success   Answer       2      4 108.177.9.94
www.superprof.es          www.superprof.es          CNAME  Success   Answer   70298      8 superprof.es
www.superprof.es          superprof.es              A      Success   Answer   70298      4 188.165.131.237
r4---sn-vgqsknee.googl... r4---sn-vgqsknee.googl... CNAME  Success   Answer     396      8 r4.sn-vgqsknee.googlevide...
r4---sn-vgqsknee.googl... r4.sn-vgqsknee.googlev... A      Success   Answer     396      4 173.194.162.42
github.githubassets.com   github.githubassets.com   A      Success   Answer    2174      4 185.199.110.154
github.githubassets.com   github.githubassets.com   A      Success   Answer    2174      4 185.199.108.154
github.githubassets.com   github.githubassets.com   A      Success   Answer    2174      4 185.199.109.154
github.githubassets.com   github.githubassets.com   A      Success   Answer    2174      4 185.199.111.154
api.uphold.com            api.uphold.com            A      Success   Answer     199      4 104.16.80.80
api.uphold.com            api.uphold.com            A      Success   Answer     199      4 104.16.79.80
